COUNTRY,YEAR,Instability_Index_lag1_Predicted,Best_EWS_Model,Crisis_Probability,Risk_Level,Early_Warning_Flag,GDP_Growth,Instability_Index,Instability_Index_lag1_IMF_Projection,Stability_Category,Crisis_Flag,Prediction_Correct
Cameroon,2024,12.519601848171748,Extra Trees,0.0374587551682844,Low,0,3.525,16.579793573578552,12.519601848171748,Stable,0,1
Kenya,2024,26.13944074624711,Extra Trees,0.028042686954773,Low,0,4.725,19.833418069357187,26.13944074624711,Moderate,0,1
Philippines,2024,28.52425372309524,Extra Trees,0.0269436566454854,Low,0,5.692,7.774136271428835,28.52425372309524,Stable,0,1
India,2024,26.015473646176783,Extra Trees,0.0251090376862163,Low,0,7.099,10.911781808691044,26.015473646176783,Stable,0,1
Jordan,2024,19.30581400006218,Extra Trees,0.0246983271240609,Low,0,2.556,6.420257184168003,19.30581400006218,Stable,0,1
Mexico,2024,27.12049087612686,Extra Trees,0.0246577860040641,Low,0,1.351,17.453861810408398,27.12049087612686,Stable,0,1
Bangladesh,2024,14.36692572361459,Extra Trees,0.0232951667879972,Low,0,4.223,10.923306290090824,14.36692572361459,Stable,0,1
Indonesia,2024,13.400525134323278,Extra Trees,0.020309478263059,Low,0,5.033,2.438592248142948,13.400525134323278,Stable,0,1
"Tanzania, United Republic of",2024,15.502928091169268,Extra Trees,0.0201509299255384,Low,0,5.463,11.672215300549729,15.502928091169268,Stable,0,1
"Korea, Republic of",2024,18.35436437900164,Extra Trees,0.0185502942592592,Low,0,2.004,14.86789091344036,18.354364379001638,Stable,0,1
"South Sudan, Republic of",2025,91.07743837912234,Extra Trees,0.9722209726524206,High,1,46.094,87.73898607139688,91.07743837912234,Crisis,1,1
Lebanon,2025,80.0011180140304,Extra Trees,0.962371356253364,High,1,4.0,89.97993532171395,80.0011180140304,Crisis,1,1
"Palau, Republic of",2025,89.22797739814234,Extra Trees,0.9287451100577588,High,1,6.324,72.38629993085395,89.22797739814234,Crisis,1,1
Sudan,2025,65.93698458765168,Extra Trees,0.9115054291187382,High,1,3.225,77.01457352466377,65.93698458765168,Crisis,1,1
Ukraine,2025,74.4419671819259,Extra Trees,0.9086284968612994,High,1,1.8,73.2565203169019,74.4419671819259,Crisis,1,1
Argentina,2025,71.68648528901508,Extra Trees,0.8755752210227135,High,1,4.367,69.48000355318251,71.68648528901508,Crisis,1,1
Burundi,2025,63.61375074593912,Extra Trees,0.8635230354956083,High,1,3.904,71.39008425811619,63.61375074593912,Crisis,1,1
Cabo Verde,2025,79.78601561921444,Extra Trees,0.8602978003082209,High,1,5.513,69.16026905505369,79.78601561921444,Crisis,1,1
Botswana,2025,58.22309444324308,Extra Trees,0.8302067154157461,High,1,-0.887,58.19009402641162,58.22309444324308,Crisis,1,1
Norway,2025,60.441168650984295,Extra Trees,0.7458373299063339,High,1,1.085,58.1334514663056,60.441168650984295,Crisis,1,1
Senegal,2025,60.93312669429263,Extra Trees,0.726967265342031,High,1,7.881,59.0901143265092,60.93312669429263,Crisis,1,1
Ghana,2025,71.14156014333906,Extra Trees,0.7214615560963179,High,1,5.954,71.85105480392748,71.14156014333906,Crisis,1,1
Libya,2025,54.745704339048906,Extra Trees,0.7209208671826272,High,1,15.871,50.08325690988374,54.745704339048906,Unstable,0,0
Mongolia,2025,61.93188889293513,Extra Trees,0.715698689386528,High,1,6.844,36.893531104434736,61.93188889293513,Unstable,0,0
Suriname,2025,61.25395838178373,Extra Trees,0.7147414566097889,High,1,1.511,61.58891738143003,61.25395838178373,Crisis,1,1
"São Tomé and Príncipe, Democratic Republic of",2025,48.44570016231851,Extra Trees,0.6922537968325669,High,1,2.1,55.432887356146594,48.44570016231851,Crisis,1,1
Montenegro,2025,62.24945028910691,Extra Trees,0.6896039917363893,High,1,2.7,46.911206836622725,62.24945028910691,Unstable,0,0
Lao People's Democratic Republic,2025,64.25197293526573,Extra Trees,0.6810769107946906,High,1,4.772,65.14144901871556,64.25197293526573,Crisis,1,1
