COUNTRY,YEAR,Linear Regression_Forecast,Elastic Net_Forecast,SVR_Forecast,Random Forest_Forecast,XGBoost_Forecast
Ireland,2026,4.680354456549286,4.844423109731078,5.6973425827288455,6.849478446112501,7.4856834
Israel,2024,4.579814225150535,4.275724852207679,4.0999795679071065,3.007924868852934,3.1550608
Israel,2025,2.6284365531569995,2.6460049625908075,3.327825567848648,2.6374678010770096,4.1159306
Israel,2026,2.3177425187706575,2.4761424412688013,2.9644417212874,2.4875532027577014,2.7162654
Italy,2024,5.260198186198283,4.77706738269292,3.8700320127166936,2.8630321368759333,3.3190613
Italy,2025,3.766430539686872,3.5956164741640904,3.0885257879765193,2.088718408435152,2.9093626
Italy,2026,1.9422132638939724,2.0514817321273418,1.6595044147523206,1.559399757444608,1.0085397
Jamaica,2024,5.023915775862303,4.7600776500682676,4.656740991111593,3.1873200302982903,3.4302568
Jamaica,2025,2.8598797917181678,2.8625411398244953,2.2815121159076517,2.787593770776928,3.5316203
Jamaica,2026,1.7297737866911858,1.9043824634947653,1.6462065082370834,1.7237990982903548,2.5453322
Japan,2024,2.9197139509387955,2.8569933013069937,1.9294403432819105,1.9706840970228707,1.9772549
Japan,2025,2.000455996965746,2.0842275165379363,1.1213410912552861,1.895048609173727,1.661461
Japan,2026,2.1317549858869844,2.2191760061916597,1.618723812006127,1.965774302692064,1.920731
Jordan,2024,3.525587040810292,3.4580375429965384,3.470098941484967,3.054462163590482,3.544642
Jordan,2025,2.6241252118165015,2.7601220796286032,2.996045224106773,2.784567981736411,3.123697
Jordan,2026,2.89874231913301,2.953175837986314,3.018018680197451,2.7468008323508792,2.8041646
"Kazakhstan, Republic of",2024,3.76585546265421,3.8685866145640326,4.691183639543626,4.477155574387519,4.718064
"Kazakhstan, Republic of",2025,4.488901177553585,4.426852778444816,4.3797706760850925,4.4558018235776515,4.2339034
"Kazakhstan, Republic of",2026,4.733112064296117,4.605728040633443,5.442389390532551,4.935772654992975,4.95405
Kenya,2024,4.625846610476861,4.496315505998127,5.2377248161302115,5.253559655088786,4.9503484
Kenya,2025,4.171022420607373,4.137602708021066,5.3572234110200645,4.357344695333875,4.9113536
Kenya,2026,4.007999453497787,3.9881103628150907,4.889346962846877,4.220147980303824,4.4082503
Kiribati,2024,3.099571216305744,2.974992961721717,4.065892758415113,3.887589997481849,-0.86167145
Kiribati,2025,8.032847337211903,6.900812574737308,3.7364373256423917,4.367601915228247,4.725378
Kiribati,2026,2.5266580864032164,2.6436275840687884,4.757242116457137,3.806704348013183,3.7075267
"Korea, Republic of",2024,3.1138009745429933,3.1120385433535995,2.3515048443167346,2.4019262627001905,2.7998753
"Korea, Republic of",2025,2.6957428174612637,2.754668901474415,2.534967476725695,2.1835092555518893,2.4020617
"Korea, Republic of",2026,1.8759562335963738,2.0601521716464664,1.7356025899459713,1.655268337218344,1.238941
"Kosovo, Republic of",2024,6.1885256885927165,5.708779623562208,4.824153126157677,4.364726949114866,4.335835
"Kosovo, Republic of",2025,4.442250289913601,4.302041129378094,4.538813253041929,4.088756642542433,4.199067
"Kosovo, Republic of",2026,3.1957832381235542,3.2288473895077128,3.3029214836362275,3.2659627147609513,3.0331514
Kuwait,2024,-0.3638645703679173,0.4531739490116773,1.7635634813994967,1.8527886360713042,3.3787982
Kuwait,2025,1.0239971192579436,1.5705675999697055,1.6526965465073022,1.6860771664162664,0.530737
Kuwait,2026,-0.16361644498314876,0.7814660689946642,1.433238354520915,0.7812596856150889,-0.95370746
Kyrgyz Republic,2024,4.942977933178202,5.514384076398315,5.524519894601552,7.8467919785976115,6.6887937
Kyrgyz Republic,2025,8.976595192813463,8.703702380529942,7.063052505142388,7.870348083673724,11.224749
Kyrgyz Republic,2026,6.736609298192416,6.74519049798852,6.398605820026478,7.436786023756843,6.5947204
Lao People's Democratic Republic,2024,3.702749324319728,3.654192473843576,4.394275103748384,3.8901282986095476,6.306085
Lao People's Democratic Republic,2025,4.046828668915893,4.026695263496461,4.825741209445018,4.1709245560789725,5.977909
Lao People's Democratic Republic,2026,4.284212971418269,4.223645879234745,4.919074673355583,4.230672475669497,5.240563
"Latvia, Republic of",2024,3.863158094001343,3.5906973176304193,2.4674885078468876,2.730590177080385,2.433899
"Latvia, Republic of",2025,2.8027106722283763,2.7106448913762367,2.675083511573542,1.8324263635466316,1.8528574
"Latvia, Republic of",2026,2.5135520645374596,2.6061742426707397,2.42318073092022,2.0602978517301014,1.3019634
Lebanon,2024,2.846255752714467,2.8967644742612504,4.2320015140325395,-3.075417557605343,0.20179717
Lebanon,2025,1.0114701831878823,1.1283195522658103,2.9775304207769464,2.005998685948278,1.9906406
"Lesotho, Kingdom of",2024,2.9163746018548293,3.213866403933041,4.148399837670122,3.6420215124361333,5.063456
"Lesotho, Kingdom of",2025,2.59800310631372,3.058248138785258,3.6505976757305163,4.4410117477937305,3.835577
"Lesotho, Kingdom of",2026,2.5887735270815115,2.8905617867796036,2.6300996094128832,2.6548969595618743,2.1865375
Liberia,2024,4.1516957715098135,3.951901011400914,4.573849237707086,4.475222167560775,3.1849458
Liberia,2025,3.1285093653161082,3.3715136364547558,3.884118781151994,4.209354773122819,3.824124
Liberia,2026,3.177927372838648,3.5601430539756813,6.398931321137375,4.501595689057004,2.9312518
