COUNTRY,YEAR,LSTM_Forecast
Saudi Arabia,2025,3.6015177
Saudi Arabia,2026,3.2778702
Senegal,2024,0.69720936
Senegal,2025,3.6045196
Senegal,2026,5.758624
"Serbia, Republic of",2024,3.9547544
"Serbia, Republic of",2025,4.2222557
"Serbia, Republic of",2026,4.1678624
Seychelles,2024,5.704633
Seychelles,2025,4.864504
Seychelles,2026,4.606646
Sierra Leone,2024,2.7685556
Sierra Leone,2025,3.756686
Sierra Leone,2026,4.3660727
Singapore,2024,3.740203
Singapore,2025,3.7294154
Singapore,2026,4.0710597
Slovak Republic,2024,2.7753406
Slovak Republic,2025,3.1164825
Slovak Republic,2026,3.2106137
"Slovenia, Republic of",2024,3.3376436
"Slovenia, Republic of",2025,3.6329813
"Slovenia, Republic of",2026,3.6201892
Solomon Islands,2024,0.23342776
Solomon Islands,2025,1.5093846
Solomon Islands,2026,3.021895
South Africa,2024,2.4498315
South Africa,2025,1.8870575
South Africa,2026,2.4470205
"South Sudan, Republic of",2024,1.7556562
"South Sudan, Republic of",2025,2.7053645
"South Sudan, Republic of",2026,5.178264
Spain,2024,4.4788074
Spain,2025,4.4645567
Spain,2026,4.2312126
Sri Lanka,2024,1.7953348
St. Lucia,2024,4.017305
St. Lucia,2025,4.069021
St. Lucia,2026,3.970283
St. Vincent and the Grenadines,2024,2.356678
St. Vincent and the Grenadines,2025,3.666483
St. Vincent and the Grenadines,2026,3.1394105
Sudan,2024,-0.9303479
Sudan,2025,-0.39637423
Sudan,2026,3.1992884
Suriname,2024,2.5936816
Suriname,2025,2.744761
Suriname,2026,1.6777864
Sweden,2024,2.8915453
Sweden,2025,2.9521232
Sweden,2026,2.9463966
Switzerland,2024,3.2240715
Switzerland,2025,3.2550364
Switzerland,2026,3.102856
"São Tomé and Príncipe, Democratic Republic of",2024,1.5110848
"São Tomé and Príncipe, Democratic Republic of",2025,3.5897698
"São Tomé and Príncipe, Democratic Republic of",2026,3.8989463
Taiwan Province of China,2024,3.4328065
Taiwan Province of China,2025,3.4354749
Taiwan Province of China,2026,3.7933855
"Tajikistan, Republic of",2024,6.1845284
"Tajikistan, Republic of",2025,6.0526605
"Tajikistan, Republic of",2026,6.766917
"Tanzania, United Republic of",2024,5.358005
"Tanzania, United Republic of",2025,5.527529
"Tanzania, United Republic of",2026,5.768138
Thailand,2024,3.0480127
Thailand,2025,3.8924289
Thailand,2026,3.858014
Togo,2024,4.5219054
Togo,2025,4.538771
Togo,2026,5.2167907
Trinidad and Tobago,2024,2.8445148
Trinidad and Tobago,2025,2.5221806
Trinidad and Tobago,2026,2.2757444
Tunisia,2024,0.811728
Tunisia,2025,1.5857465
Tunisia,2026,3.5329075
Turkmenistan,2024,3.856792
Turkmenistan,2025,3.4474509
Turkmenistan,2026,3.8447669
"Türkiye, Republic of",2024,3.3538656
"Türkiye, Republic of",2025,3.6655433
"Türkiye, Republic of",2026,3.7735639
Uganda,2024,4.5196805
Uganda,2025,4.8205175
Uganda,2026,5.1306405
Ukraine,2024,2.06573
Ukraine,2025,2.6644473
Ukraine,2026,0.590847
United Arab Emirates,2024,4.3144336
United Arab Emirates,2025,4.3190665
United Arab Emirates,2026,4.1400337
United Kingdom,2024,3.7869036
United Kingdom,2025,3.509459
United Kingdom,2026,3.3893497
United States,2024,4.883372
United States,2025,4.5261874
United States,2026,3.574209
Uruguay,2024,2.8077493
Uruguay,2025,3.272841
Uruguay,2026,3.4629045
"Uzbekistan, Republic of",2024,4.5060267
"Uzbekistan, Republic of",2025,4.6623077
"Uzbekistan, Republic of",2026,5.837605
"Venezuela, República Bolivariana de",2024,4.3568287
"Venezuela, República Bolivariana de",2025,3.7572312
"Venezuela, República Bolivariana de",2026,-1.3323808
Vietnam,2024,4.150083
Vietnam,2025,5.4879856
Vietnam,2026,6.3725634
West Bank and Gaza,2024,2.835609
Zambia,2024,3.4221153
Zambia,2025,3.6295018
Zambia,2026,5.2789893
