"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.RES:WEO(9.0.0)","BEL.GGX_NGDP.A","OBS_VALUE","Belgium","Expenditure, General government, Percent of GDP","Annual","Units","52.645","53.052","51.602","50.959","50.496","49.399","49.379","49.904","51.047","49.319","51.862","48.789","48.563","50.775","54.530","53.903","55.027","56.245","55.902","55.416","53.881","53.378","52.254","52.451","51.751","58.453","54.939","52.256","53.298"
"IMF.RES:WEO(9.0.0)","BEL.PCPIPCH.A","OBS_VALUE","Belgium","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.265","1.760","1.499","0.901","1.134","2.682","2.438","1.552","1.517","1.857","2.539","2.331","1.819","4.490","-0.004","2.329","3.344","2.620","1.252","0.495","0.623","1.772","2.225","2.308","1.250","0.424","3.217","10.331","2.294"
"IMF.RES:WEO(9.0.0)","BEL.NGSD_NGDP.A","OBS_VALUE","Belgium","Gross national savings, Percent of GDP","Annual","Units","25.769","25.247","26.212","26.086","28.876","26.203","24.126","25.248","24.362","25.765","25.677","25.821","26.099","24.931","23.678","24.018","22.554","23.507","23.660","24.026","24.709","24.735","25.033","24.637","24.800","24.955","26.275","25.612","24.675"
"IMF.RES:WEO(9.0.0)","BEL.GGXWDG_NGDP.A","OBS_VALUE","Belgium","Gross debt, General government, Percent of GDP","Annual","Units","131.286","129.004","124.271","119.186","115.362","109.589","108.217","105.437","101.659","97.170","95.142","91.494","87.325","93.160","99.853","100.245","102.735","104.335","105.032","106.555","105.572","105.475","102.485","100.078","97.573","111.245","108.541","102.701","103.249"
"IMF.RES:WEO(9.0.0)","AUT.TM_RPCH.A","OBS_VALUE","Austria","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","5.905","3.066","7.270","5.758","4.064","10.186","5.192","0.291","3.507","7.975","5.455","5.855","5.635","0.954","-11.899","11.978","5.954","0.923","0.769","2.998","3.639","3.728","5.258","5.105","2.352","-9.574","14.115","7.083","-4.596"
"IMF.RES:WEO(9.0.0)","AUT.NGDP_RPCH.A","OBS_VALUE","Austria","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.668","2.398","2.146","3.493","3.762","3.190","1.317","1.484","1.142","2.565","2.320","3.269","3.775","1.453","-3.586","1.809","2.927","0.628","-0.251","0.756","1.303","2.117","2.272","2.484","1.755","-6.318","4.795","5.278","-0.955"
"IMF.RES:WEO(9.0.0)","BEL.TM_RPCH.A","OBS_VALUE","Belgium","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","9.572","4.221","8.908","5.561","2.681","12.157","1.409","7.384","0.337","6.027","4.310","5.032","5.161","-2.909","-12.151","6.468","4.478","-1.112","0.796","2.595","-0.363","5.032","-1.090","0.120","-3.080","-7.818","14.613","2.383","-4.973"
"IMF.RES:WEO(9.0.0)","BEL.BCA_NGDPD.A","OBS_VALUE","Belgium","Current account balance (credit less debit), Percent of GDP","Annual","Units","5.338","4.954","5.471","5.120","7.764","3.965","3.335","4.501","3.398","3.098","1.995","1.850","1.496","-1.006","1.651","1.623","-1.926","-0.081","0.951","0.768","1.387","0.554","0.701","-0.915","0.124","0.887","1.833","-1.313","-0.688"
"IMF.RES:WEO(9.0.0)","AUT.NGSD_NGDP.A","OBS_VALUE","Austria","Gross national savings, Percent of GDP","Annual","Units","24.111","23.638","23.825","24.388","24.004","25.230","24.626","25.896","26.013","26.295","26.239","27.147","28.560","29.224","25.627","25.732","25.993","25.748","25.690","26.246","25.589","27.031","26.242","26.744","27.885","29.020","29.408","28.365","26.749"
"IMF.RES:WEO(9.0.0)","AUT.TX_RPCH.A","OBS_VALUE","Austria","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","7.205","4.016","11.028","7.852","6.434","13.525","5.771","4.286","0.531","8.661","6.665","7.576","7.572","2.171","-14.368","13.131","5.935","1.438","0.633","2.855","3.026","2.993","4.900","5.151","4.035","-10.489","9.477","9.997","-0.422"
