COUNTRY,YEAR,RF_Forecast,RF_Lower_95,RF_Upper_95,RF_CI_Width,XGB_Forecast,XGB_Lower_95,XGB_Upper_95,XGB_CI_Width,Ensemble_Forecast,Ensemble_Lower_95,Ensemble_Upper_95
Cambodia,2025,5.296516920333515,1.1269958333333332,7.742902757352942,6.615906924019609,4.62806,4.628064155578613,4.628064155578613,0.0,4.962288392188852,2.877529994455973,6.185483456465778
Cambodia,2026,4.595587417375701,1.7712635532591416,7.495326052631577,5.724062499372435,4.197878,4.197880744934082,4.197880744934082,0.0,4.396732650643417,2.984572149096612,5.846603398782829
Cameroon,2024,3.228799941235649,0.6123574107142857,5.178749,4.566391589285714,3.227294,3.2272911071777344,3.2272911071777344,0.0,3.2280469547181663,1.9198242589460102,4.203020053588867
Cameroon,2025,3.1189487777848397,0.8723411764705883,5.20143615384615,4.329094977375562,3.2678742,3.2678751945495605,3.2678751945495605,0.0,3.193411509330042,2.0701081855100743,4.234655674197855
Cameroon,2026,3.0273454177137635,0.8617703703703703,5.071738636363634,4.209968265993263,3.1716797,3.1716771125793457,3.1716771125793457,0.0,3.0995125764487397,2.0167237414748582,4.12170787447149
Canada,2024,3.4496541139646433,-1.7170904220779222,7.74323970588235,9.460330127960273,2.9555635,2.955561399459839,2.955561399459839,0.0,3.202608829595847,0.6192354886909583,5.349400552671094
Canada,2025,2.237890748211056,-1.017495208333333,4.935482843137255,5.952978051470588,2.7240908,2.724091053009033,2.724091053009033,0.0,2.480990781400755,0.8532979223378501,3.829786948073144
Canada,2026,1.9988296218253645,-0.6539138888888888,3.844558528428093,4.498472417316981,2.0599823,2.0599822998046875,2.0599822998046875,0.0,2.029405960815026,0.7030342054578993,2.9522704141163905
Central African Republic,2024,0.8998275244053019,-2.8530499999999996,4.856284,7.709333999999999,1.7166597,1.7166599035263062,1.7166599035263062,0.0,1.3082435947565145,-0.5681950482368467,3.286471951763153
Central African Republic,2025,2.1873964899390033,-0.19039999999999999,4.344569447261657,4.534969447261657,2.3242178,2.3242149353027344,2.3242149353027344,0.0,2.255807143132343,1.0669074676513672,3.3343921912821957
Central African Republic,2026,3.8753096823479085,-0.07506547619047615,7.014391051136363,7.089456527326839,3.9411602,3.941157579421997,3.941157579421997,0.0,3.908234942187138,1.9330460516157604,5.477774315279181
Chad,2024,3.981475176910739,0.19047054347826098,7.01802775735294,6.827557213874679,4.147066,4.147069931030273,4.147069931030273,0.0,4.064270646621873,2.168770237254267,5.5825488441916065
Chad,2025,3.7449276279930994,-0.018949385964912333,6.1264642857142855,6.145413671679198,3.9309058,3.930901527404785,3.930901527404785,0.0,3.8379167234661544,1.9559760707199365,5.028682906559535
Chad,2026,4.816806619806012,1.983422222222222,6.996034999999999,5.012612777777777,4.4206004,4.4206037521362305,4.4206037521362305,0.0,4.618703517041068,3.2020129871792262,5.708319376068115
Chile,2024,3.9122495837000786,-0.6253327941176471,8.064471153846151,8.689803947963798,3.397034,3.3970351219177246,3.3970351219177246,0.0,3.654641756762454,1.3858511639000388,5.730753137881938
Chile,2025,1.8341406132467422,-3.090447159090909,4.928750301932366,8.019197461023275,2.246105,2.246103048324585,2.246103048324585,0.0,2.04012278445998,-0.42217205538316205,3.5874266751284756
Chile,2026,2.6952017186211616,-0.1409180402930402,5.265435333333333,5.406353373626373,2.6323206,2.632317304611206,2.632317304611206,0.0,2.6637611805462376,1.245699632159083,3.9488763189722693
"China, People's Republic of",2024,4.694231872969261,1.0181157986111111,8.104408125,7.0862923263888895,4.3793964,4.379398822784424,4.379398822784424,0.0,4.536814155783947,2.6987573106977676,6.241903473892212
"China, People's Republic of",2025,4.180171381117732,0.5338812499999998,6.941548928571426,6.407667678571427,3.9847815,3.9847865104675293,3.9847865104675293,0.0,4.0824764423975495,2.2593338802337644,5.463167719519477
"China, People's Republic of",2026,4.272678541213766,0.7332157342657344,6.977238275862068,6.244022541596333,3.9563923,3.956394672393799,3.956394672393799,0.0,4.114535414710887,2.3448052033297664,5.466816474127933
Colombia,2024,3.8150818859252382,-4.350813235294117,7.796352426739928,12.147165662034045,3.422272,3.422273635864258,3.422273635864258,0.0,3.618676926429721,-0.46426979971492965,5.609313031302093
Colombia,2025,2.887066448036854,-1.0798513888888885,7.005421841032609,8.085273229921498,2.6973562,2.697355031967163,2.697355031967163,0.0,2.7922113360484566,0.8087518215391373,4.851388436499886
Colombia,2026,2.3132277976351365,-0.7224296874999999,4.909297619047617,5.631727306547617,2.5709994,2.571000814437866,2.571000814437866,0.0,2.442113590780764,0.9242855634689331,3.7401492167427417
"Comoros, Union of the",2024,3.1379872273916365,-0.5373105392156862,6.253870833333333,6.791181372549019,3.1745942,3.17459774017334,3.17459774017334,0.0,3.156290695643145,1.318643600478827,4.714234286753337
"Comoros, Union of the",2025,3.252019427530582,0.86495,5.468000514705878,4.603050514705878,3.1891177,3.1891188621520996,3.1891188621520996,0.0,3.220568548794893,2.02703443107605,4.328559688428989
"Comoros, Union of the",2026,3.530071310336617,1.0321583333333333,6.264083749999993,5.23192541666666,3.6325102,3.632514715194702,3.632514715194702,0.0,3.581290747789158,2.3323365242640177,4.948299232597348
"Congo, Democratic Republic of the",2024,6.632286256970145,3.00671125,10.513049444444443,7.506338194444442,6.276361,6.27635383605957,6.27635383605957,0.0,6.454323622793544,4.641532543029785,8.394701640252006
"Congo, Democratic Republic of the",2025,5.650549627488985,0.8986152777777779,8.620993612637362,7.722378334859584,5.293429,5.293430805206299,5.293430805206299,0.0,5.4719892626733255,3.0960230414920384,6.95721220892183
"Congo, Democratic Republic of the",2026,4.592011999642666,0.1833592105263157,7.38930375,7.205944539473684,5.011871,5.01186990737915,5.01186990737915,0.0,4.801941430348066,2.597614558952733,6.200586828689575
"Congo, Republic of",2024,2.159473686045414,-3.860731527777778,7.8928178571428464,11.753549384920625,2.6382444,2.6382429599761963,2.6382429599761963,0.0,2.3988590382665427,-0.6112442839007908,5.265530408559521
"Congo, Republic of",2025,2.2163253925376,-0.70418375,4.948698076923075,5.652881826923076,2.276242,2.276240825653076,2.276240825653076,0.0,2.246283705141786,0.7860285378265381,3.6124694512880757
"Congo, Republic of",2026,2.234260877821092,-0.603903007518797,4.988155890603083,5.59205889812188,2.6464343,2.6464312076568604,2.6464312076568604,0.0,2.4403475924597404,1.0212641000690317,3.8172935491299715
Costa Rica,2024,5.380238767402698,1.7386065760869567,8.767636869747896,7.02903029366094,4.469694,4.469689846038818,4.469689846038818,0.0,4.92496645248797,3.1041482110628875,6.618663357893357
Costa Rica,2025,3.7719662716655185,1.013461542145594,6.350996874999997,5.3375353328544035,3.8587725,3.8587746620178223,3.8587746620178223,0.0,3.8153693939580644,2.436118102081708,5.104885768508909
Costa Rica,2026,4.308792575278736,1.9093416208791212,6.651637922705313,4.742296301826192,3.9860818,3.9860787391662598,3.9860787391662598,0.0,4.147437206943263,2.9477101800226904,5.318858330935786
"Croatia, Republic of",2024,5.033188560151945,0.07203602941176465,9.51120647977941,9.439170450367646,4.487954,4.487958908081055,4.487958908081055,0.0,4.760571349930709,2.2799974687464095,6.999582693930233
"Croatia, Republic of",2025,3.4838517344451208,-0.3023119047619047,6.533580214285713,6.835892119047618,3.8971655,3.8971707820892334,3.8971707820892334,0.0,3.690508635662807,1.7974294386636642,5.215375498187473
"Croatia, Republic of",2026,3.099925217150105,0.48055,5.220873599439767,4.740323599439767,3.2124841,3.2124834060668945,3.2124834060668945,0.0,3.1562046692363683,1.8465167030334473,4.2166785027533304
Cyprus,2024,4.882144307262874,-1.1218065217391306,9.792388045454539,10.91419456719367,4.2082434,4.208240032196045,4.208240032196045,0.0,4.545193838659513,1.5432167552284572,7.000314038825292
Cyprus,2025,4.041944770902791,1.2740222861842105,7.336566379310342,6.062544093126132,4.0386043,4.038600921630859,4.038600921630859,0.0,4.040274515196879,2.656311603907535,5.6875836504706
